NaceCode,avg_company_age
80226,96.49
75302,81.02
10100,68.74
70202,66.53
75114,62.91
66033,60.48
26240,60.14
84114,59.91
11100,59.83
75220,57.56
91310,56.76
84232,56.1
75232,56.1
80224,55.95
65222,55.58
75115,55.24
26402,54.49
75303,54.36
80103,54.32
84115,53.87
75111,53.51
66031,52.36
80105,52.19
66020,51.8
41000,51.62
1412,51.27
80214,50.8
27441,50.72
24110,50.69
27451,50.67
85324,50.21
94910,50.14
91200,50.13
55210,49.64
26810,49.3
85313,49.25
29130,49.24
75130,49.2
80304,49.0
84302,48.6
24151,48.3
75301,48.18
32202,48.03
85322,47.87
17150,47.7
27442,47.63
28743,47.5
29540,47.47
66013,47.3
14122,47.28
16000,47.27
15430,47.16
65120,46.91
75113,46.76
85314,46.33
36620,46.14
27340,46.09
24130,45.96
21240,45.77
85110,45.76
60211,45.64
28751,45.5
86102,45.49
14300,45.4
15920,45.09
15610,45.05
15620,44.98
18300,44.96
21122,44.59
17170,44.59
28742,44.34
80219,44.27
55231,44.17
24620,44.03
85326,43.86
87901,43.82
23300,43.78
27540,43.69
87991,43.66
17510,43.65
24170,43.64
91311,43.28
24300,43.28
26650,43.02
85206,43.01
25130,42.99
60212,42.78
28610,42.78
24120,42.75
15710,42.62
31400,42.56
21230,42.31
24700,42.28
15960,42.15
15980,42.14
65223,41.99
87201,41.98
15830,41.93
63404,41.71
70321,41.66
24511,41.66
21121,41.64
17600,41.53
29141,41.46
24421,41.36
84113,41.32
80309,41.24
28741,41.22
85204,41.1
14500,41.09
88995,40.95
75244,40.94
80104,40.84
14211,40.84
14400,40.75
92520,40.74
85316,40.71
15312,40.67
35410,40.61
80215,40.59
24640,40.41
27100,40.36
84301,40.26
26820,40.21
36150,40.16
55510,40.13
15412,40.12
14121,40.07
65234,39.97
15870,39.97
17140,39.85
15860,39.63
26610,39.53
92611,39.52
24610,39.46
29430,39.33
75210,39.23
92130,39.15
51250,39.12
85106,39.01
21210,39.0
17530,38.95
31610,38.92
29142,38.91
91330,38.85
15970,38.81
63111,38.8
60300,38.73
19301,38.73
23321,38.69
26401,38.65
26403,38.62
33201,38.6
32910,38.6
94200,38.59
75140,38.51
15320,38.51
51810,38.49
51510,38.48
20110,38.44
51240,38.41
65110,38.33
51531,38.28
18210,38.22
29321,38.2
51520,38.09
15332,38.08
80102,38.07
8910,38.06
91120,37.98
24140,37.96
90010,37.86
75231,37.86
85323,37.83
26530,37.83
52121,37.76
29561,37.73
1300,37.65
29120,37.62
80301,37.6
87303,37.5
21250,37.42
85315,37.41
29510,37.35
31100,37.34
29602,37.32
63401,37.31
92621,37.27
21220,37.25
88993,37.24
20101,37.21
52491,37.14
31300,37.12
34300,37.1
65210,37.05
34100,37.03
29530,36.85
15510,36.84
24660,36.82
51532,36.8
28730,36.67
65233,36.65
17520,36.63
74854,36.61
51541,36.61
51570,36.5
24630,36.49
52115,36.48
29562,36.45
55220,36.42
85691,36.38
65221,36.38
28620,36.35
26620,36.35
15131,36.34
52494,36.33
15890,36.33
93011,36.28
26630,36.25
17160,36.21
24512,36.2
60230,36.18
27452,36.16
51472,36.13
18230,36.13
15411,36.1
30010,36.09
75233,35.98
55233,35.96
51321,35.9
25240,35.85
28755,35.79
80221,35.78
66011,35.76
15850,35.75
52481,35.73
51475,35.72
29210,35.69
15420,35.69
27431,35.68
85601,35.66
84309,35.66
51830,35.55
75116,35.51
51350,35.4
27422,35.4
14212,35.39
92322,35.34
51230,35.27
20520,35.26
84111,35.17
15111,35.17
36221,35.07
29420,35.0
26230,35.0
28720,34.99
85205,34.94
80211,34.94
51442,34.92
63303,34.88
29220,34.88
35500,34.87
15331,34.86
51360,34.84
85311,34.82
20400,34.81
26220,34.8
15121,34.78
29241,34.7
18221,34.62
63220,34.59
52710,34.51
15333,34.49
63403,34.47
35420,34.38
27530,34.38
55401,34.35
17720,34.3
36210,34.26
51460,34.25
91110,34.24
50500,34.18
29710,34.17
55402,34.16
63121,34.14
33402,34.13
24510,34.12
51871,34.11
17540,34.1
60242,34.08
52461,34.07
21110,34.07
8111,34.06
55101,34.03
85321,34.01
51331,34.01
31623,33.98
26660,33.96
85312,33.95
71404,33.94
15910,33.94
29230,33.89
1121,33.89
51370,33.88
91320,33.85
24422,33.82
52495,33.81
24160,33.81
92530,33.8
27421,33.77
28940,33.76
28402,33.76
36630,33.75
67201,33.69
63210,33.67
27220,33.66
85144,33.62
15811,33.61
51310,33.6
93031,33.57
20120,33.57
1231,33.57
29110,33.56
15720,33.56
19100,33.5
51880,33.48
87203,33.44
86101,33.38
75120,33.37
63301,33.34
51340,33.33
15930,33.33
29247,33.32
52730,33.3
51392,33.29
29410,33.26
80101,33.25
15840,33.23
86104,33.2
18242,33.17
51542,33.15
51561,33.14
45242,33.11
84241,33.09
51820,33.09
52441,33.07
28710,33.06
51550,33.05
36141,33.05
5020,33.02
92722,33.01
31621,33.01
15820,33.01
52410,33.0
51430,32.97
51410,32.97
17300,32.97
12000,32.92
52486,32.88
24310,32.87
17710,32.87
51474,32.84
29564,32.83
33103,32.82
34202,32.8
50103,32.77
67120,32.76
52462,32.73
51872,32.73
31501,32.73
28752,32.73
22130,32.7
85141,32.67
45442,32.64
51476,32.63
51471,32.55
73100,32.54
93012,32.53
34201,32.49
52122,32.48
92510,32.46
93013,32.45
51441,32.44
26140,32.43
67203,32.42
92613,32.34
28630,32.31
52114,32.29
29550,32.27
93032,32.24
52450,32.24
33202,32.23
36121,32.21
52484,32.2
1241,32.19
45214,32.14
29246,32.12
52488,32.11
40220,32.1
92203,32.08
31200,32.07
36000,32.04
63112,32.01
52485,31.99
71405,31.98
63402,31.98
51450,31.97
8112,31.96
17401,31.93
5010,31.92
85120,31.9
50301,31.89
37200,31.89
75112,31.88
52310,31.88
51381,31.88
99000,31.86
71100,31.85
51873,31.85
51478,31.84
20510,31.8
52431,31.77
52470,31.73
84119,31.71
27410,31.69
74876,31.68
28510,31.67
52501,31.66
45230,31.66
31622,31.65
93021,31.61
29520,31.61
87202,31.59
70203,31.59
31502,31.58
85201,31.57
32100,31.57
8122,31.57
29243,31.55
9900,31.54
52271,31.53
52482,31.52
36111,31.52
33500,31.51
25940,31.51
51473,31.48
74873,31.44
92331,31.43
18244,31.41
45213,31.38
22150,31.34
51562,31.33
92321,31.26
52720,31.25
66032,31.23
92723,31.22
2012,31.22
74502,31.2
27432,31.2
1122,31.2
17110,31.19
29563,31.12
51322,31.11
60241,31.1
28754,31.1
15880,31.1
92332,31.09
2020,31.09
40300,31.07
85103,31.02
45211,31.0
52442,30.98
51850,30.97
24152,30.94
80305,30.91
64910,30.89
52489,30.89
80411,30.88
84130,30.86
25230,30.86
17402,30.86
85402,30.84
74121,30.75
50104,30.72
29244,30.71
52421,30.69
51422,30.69
60220,30.67
63302,30.64
52422,30.62
85130,30.61
52498,30.57
29245,30.56
63122,30.55
51391,30.55
24340,30.53
22220,30.53
85325,30.52
55102,30.52
93121,30.51
52502,30.51
40110,30.51
26150,30.5
52112,30.48
15520,30.45
22110,30.44
51477,30.41
67130,30.39
15812,30.37
50302,30.36
65235,30.35
87902,30.33
86103,30.33
29242,30.33
87301,30.32
33101,30.32
26260,30.32
19200,30.31
18222,30.31
74131,30.27
51900,30.2
36500,30.18
11200,30.14
52483,30.09
52432,30.08
19302,30.05
51421,30.04
1243,30.03
52423,30.02
2011,30.0
36400,29.99
87205,29.98
70204,29.98
15112,29.98
70201,29.94
70311,29.93
51384,29.93
26212,29.9
50101,29.87
52497,29.86
52330,29.86
70111,29.85
45331,29.84
32201,29.82
85203,29.81
17130,29.78
22120,29.73
92201,29.69
85422,29.67
37100,29.67
71320,29.61
50200,29.58
67202,29.57
85104,29.55
15201,29.55
65236,29.53
45332,29.52
33300,29.52
74871,29.5
94110,29.49
23520,29.49
45241,29.47
33102,29.47
23910,29.45
52740,29.43
87992,29.38
15132,29.33
64922,29.32
10910,29.32
52492,29.31
29322,29.27
74122,29.23
45421,29.23
1242,29.23
71340,29.22
45433,29.22
65231,29.21
46216,29.21
51220,29.2
92710,29.15
52496,29.14
36130,29.14
28401,29.11
28520,29.1
20102,29.07
71210,29.05
18243,29.05
45212,29.03
52621,29.01
51382,29.0
26700,28.91
85202,28.83
26640,28.82
85142,28.81
1123,28.79
51120,28.75
85145,28.73
74152,28.73
92312,28.66
86933,28.66
51332,28.63
28753,28.63
45220,28.57
20300,28.56
80422,28.55
52493,28.55
28110,28.54
45215,28.53
36300,28.51
18100,28.51
17120,28.49
63405,28.44
10312,28.42
67110,28.41
1232,28.34
91030,28.33
70322,28.33
52240,28.33
74401,28.28
52111,28.28
51160,28.28
55301,28.27
45340,28.26
71401,28.23
22140,28.17
63230,28.16
85200,28.12
52630,28.12
68202,28.1
80423,28.09
71408,28.09
1220,28.09
74601,28.05
52623,28.03
36223,27.97
91220,27.95
26211,27.95
71406,27.93
92111,27.9
74700,27.88
74203,27.87
29720,27.86
20130,27.85
36122,27.79
74113,27.78
45441,27.76
92120,27.75
55201,27.73
51110,27.71
51170,27.65
52113,27.63
36112,27.62
52272,27.61
8123,27.59
71407,27.56
71330,27.48
46620,27.47
51180,27.46
36142,27.45
10393,27.45
93053,27.44
52116,27.44
74124,27.43
71310,27.43
92313,27.42
45431,27.42
17210,27.39
51190,27.35
55522,27.34
22210,27.34
71220,27.27
46240,27.25
74820,27.24
74114,27.24
18110,27.19
1500,27.17
63406,27.15
74812,27.13
74811,27.13
46494,27.11
93022,27.08
52424,27.08
71403,27.06
52622,27.05
24100,27.04
87101,26.97
20200,26.95
71402,26.94
74123,26.89
36224,26.87
23990,26.87
46412,26.86
35430,26.84
20150,26.83
55302,26.8
52425,26.8
45500,26.79
25220,26.69
74855,26.68
51383,26.68
52320,26.61
60243,26.58
55232,26.57
20600,26.57
74402,26.54
28140,26.53
92311,26.48
20140,26.47
46660,26.44
13930,26.41
85146,26.4
74302,26.4
74872,26.33
28230,26.32
51130,26.31
30400,26.25
31003,26.18
74875,26.14
31030,26.14
27210,26.1
92612,26.09
28120,26.08
30020,26.07
52220,26.03
92724,25.99
93191,25.98
26130,25.97
74853,25.95
71230,25.95
51140,25.95
40130,25.95
46640,25.92
93122,25.84
74503,25.84
46648,25.84
51210,25.82
17220,25.82
92721,25.8
51150,25.79
92400,25.78
15311,25.78
72220,25.77
