sector_name,total_enterprises,active_count,ceased_count,recent_enterprises,new_2020_2025,new_2015_2019,cessation_rate,recent_entry_rate,growth_acceleration,battleground_index,competition_category
Manufacturing,463062,1829075,0,1068125,1068125,474732,0.0,230.67,125.0,72.95,🌊 New popular
Mining and Quarrying,8524,24585,0,13989,13989,6700,0.0,164.11,108.79,52.5,🌊 New popular
Transportation and Storage,83992,221254,0,122874,122874,61167,0.0,146.29,100.88,46.91,🌊 New popular
"Arts, Sports and Recreation",56116,145760,0,80786,80786,40383,0.0,143.96,100.05,46.19,🌊 New popular
Accommodation and Food Service Activities,84904,193044,0,117788,117788,52898,0.0,138.73,122.67,45.3,🌊 New popular
Other Service Activities,14120,33417,0,19437,19437,9260,0.0,137.66,109.9,44.59,🌊 New popular
Construction,87890,212490,0,118009,118009,60685,0.0,134.27,94.46,43.11,🌊 New popular
"Professional, Scientific and Technical Activities",178443,401348,0,228165,228165,108595,0.0,127.86,110.11,41.66,🌊 New popular
Administrative and Support Service Activities,177220,429849,0,230147,230147,122508,0.0,129.87,87.86,41.6,🌊 New popular
"Electricity, Gas, Steam and Air Conditioning Supply",116,193,0,135,135,44,0.0,116.38,206.82,41.12,🌊 New popular
"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",180245,437436,0,226520,226520,131091,0.0,125.67,72.8,39.89,🌊 New popular
"Water Supply; Sewerage, Waste Management and Remediation Activities",84905,171390,0,99212,99212,44921,0.0,116.85,120.86,38.68,🌊 New popular
"Agriculture, Forestry and Fishing",170128,346408,0,194603,194603,94481,0.0,114.39,105.97,37.49,🌊 New popular
Financial and Insurance Activities,20070,50480,0,22076,22076,15179,0.0,110.0,45.44,34.36,🌊 New popular
Activities of Extraterrestrial Organizations And Bodies,117724,209895,0,114631,114631,59061,0.0,97.37,94.09,32.03,🌊 New popular
"Public Administration and Defence, Compulsory Social Security",183,390,0,169,169,123,0.0,92.35,37.4,28.83,🌊 New popular
"Publishing, Broadcasting, Content Production, Distribution Activities",72263,92654,0,51162,51162,27382,0.0,70.8,86.85,23.85,🌊 New popular
Real Estate Activities,9128,10859,0,4796,4796,3153,0.0,52.54,52.11,17.33,🌊 New popular
No NACE Code Available,309537,309537,0,134641,134641,97737,0.0,43.5,37.76,14.18,🌊 New popular
