Zipcode,company_count,percentage
1000,28159,2.44
1050,23112,2.0
9000,16813,1.46
1180,15662,1.36
1030,13418,1.16
2000,12957,1.12
1070,12490,1.08
2018,11613,1.01
,10904,0.95
4000,9726,0.84
1040,9647,0.84
1080,8966,0.78
3500,8444,0.73
1060,8256,0.72
8400,7693,0.67
1190,7422,0.64
8800,6941,0.6
2800,6881,0.6
1200,6664,0.58
8300,6180,0.54
1150,6028,0.52
2100,6006,0.52
8500,5983,0.52
2600,5905,0.51
1020,5882,0.51
3600,5829,0.51
8000,5230,0.45
2930,5206,0.45
3000,5061,0.44
9100,4926,0.43
1410,4780,0.41
2610,4661,0.4
1090,4536,0.39
1160,4351,0.38
4020,4298,0.37
2300,4199,0.36
2440,4179,0.36
1170,4149,0.36
2060,4053,0.35
2970,4035,0.35
1930,3965,0.34
1210,3937,0.34
2900,3933,0.34
1300,3931,0.34
9300,3890,0.34
8670,3869,0.34
1140,3654,0.32
2500,3619,0.31
3800,3527,0.31
9200,3512,0.3
9160,3508,0.3
1800,3465,0.3
9800,3458,0.3
3550,3456,0.3
2140,3411,0.3
5000,3374,0.29
2550,3350,0.29
1420,3324,0.29
8200,3286,0.28
2950,3283,0.28
9120,3245,0.28
1380,3108,0.27
2200,3104,0.27
2170,3082,0.27
2960,3066,0.27
2400,3046,0.26
8790,2988,0.26
9700,2987,0.26
7000,2982,0.26
1780,2921,0.25
3300,2883,0.25
9140,2876,0.25
1600,2821,0.24
3090,2814,0.24
1400,2774,0.24
8560,2772,0.24
4800,2771,0.24
5100,2771,0.24
7500,2767,0.24
1700,2760,0.24
3001,2746,0.24
1082,2728,0.24
3920,2708,0.23
8020,2623,0.23
9050,2623,0.23
8870,2579,0.22
3700,2575,0.22
3740,2571,0.22
2980,2553,0.22
6000,2532,0.22
1640,2529,0.22
2650,2516,0.22
2640,2472,0.21
9940,2468,0.21
7700,2457,0.21
9820,2402,0.21
3530,2368,0.21
1730,2365,0.21
2220,2357,0.2
8900,2356,0.2
3630,2348,0.2
8310,2334,0.2
2660,2313,0.2
9880,2294,0.2
8930,2257,0.2
7100,2224,0.19
1081,2220,0.19
8370,2187,0.19
2920,2173,0.19
9080,2158,0.19
3010,2154,0.19
3520,2143,0.19
2880,2125,0.18
2260,2120,0.18
2020,2115,0.18
1083,2080,0.18
9620,2071,0.18
1500,2070,0.18
8301,2056,0.18
2520,2052,0.18
9230,2049,0.18
9400,2042,0.18
9070,2016,0.17
2630,2007,0.17
2160,2004,0.17
2830,1998,0.17
1950,1997,0.17
1853,1994,0.17
3020,1990,0.17
8700,1980,0.17
9040,1977,0.17
3680,1958,0.17
2180,1952,0.17
2560,1946,0.17
9600,1932,0.17
2990,1910,0.17
9220,1910,0.17
8820,1893,0.16
2460,1891,0.16
4100,1877,0.16
3290,1847,0.16
8620,1845,0.16
3080,1826,0.16
1840,1817,0.16
1480,1814,0.16
9240,1814,0.16
8210,1811,0.16
9500,1802,0.16
6700,1797,0.16
2390,1774,0.15
