year,nace_code,sector_name,new_companies,prev_year_count,yoy_growth,growth_category
2025,84130,Construction,5,3,66.67,Growth
2025,68121,Administrative and Support Service Activities,358,976,-63.32,Decline
2025,41101,Manufacturing,2,918,-99.78,Decline
2025,36000,"Publishing, Broadcasting, Content Production, Distribution Activities",5,13,-61.54,Decline
2025,93110,Manufacturing,165,354,-53.39,Decline
2025,93299,Manufacturing,1350,2507,-46.15,Decline
2025,93126,Manufacturing,5,24,-79.17,Decline
2025,41003,Manufacturing,681,1384,-50.79,Decline
2025,94999,Transportation and Storage,58,213,-72.77,Decline
2025,68122,Administrative and Support Service Activities,227,546,-58.42,Decline
2025,82990,Manufacturing,8557,17608,-51.4,Decline
2025,71122,Manufacturing,40,116,-65.52,Decline
2025,41203,Manufacturing,4,1293,-99.69,Decline
2025,41102,Manufacturing,2,507,-99.61,Decline
2025,37000,"Professional, Scientific and Technical Activities",26,46,-43.48,Decline
2025,88911,Activities of Extraterrestrial Organizations And Bodies,26,110,-76.36,Decline
2025,88101,Administrative and Support Service Activities,112,188,-40.43,Decline
2025,84120,Construction,2,9,-77.78,Decline
2025,42911,Manufacturing,21,54,-61.11,Decline
2025,73200,Manufacturing,304,601,-49.42,Decline
2025,2100,Manufacturing,88,167,-47.31,Decline
2025,2400,Manufacturing,46,91,-49.45,Decline
2025,87202,"Professional, Scientific and Technical Activities",1,4,-75.0,Decline
2025,85311,Transportation and Storage,1,4,-75.0,Decline
2025,88105,Administrative and Support Service Activities,5,7,-28.57,Decline
2025,88106,Administrative and Support Service Activities,2,8,-75.0,Decline
2025,88103,Administrative and Support Service Activities,3,4,-25.0,Decline
2025,88104,Administrative and Support Service Activities,2,8,-75.0,Decline
2025,88992,Activities of Extraterrestrial Organizations And Bodies,18,31,-41.94,Decline
2025,88991,Activities of Extraterrestrial Organizations And Bodies,3,9,-66.67,Decline
2025,35140,Transportation and Storage,24,242,-90.08,Decline
2025,35110,Transportation and Storage,34,100,-66.0,Decline
2025,35220,Transportation and Storage,1,6,-83.33,Decline
2025,61100,Manufacturing,64,246,-73.98,Decline
2025,35130,Transportation and Storage,12,45,-73.33,Decline
2025,61200,Manufacturing,162,367,-55.86,Decline
2025,41001,Manufacturing,2048,4426,-53.73,Decline
2025,43350,Manufacturing,1830,3468,-47.23,Decline
2025,64210,Construction,951,3245,-70.69,Decline
2025,41201,Manufacturing,20,4147,-99.52,Decline
2025,64200,Construction,14,3003,-99.53,Decline
2025,43390,Manufacturing,12,3351,-99.64,Decline
2025,38110,Administrative and Support Service Activities,43,63,-31.75,Decline
2025,38210,Administrative and Support Service Activities,51,148,-65.54,Decline
2025,90021,Activities of Extraterrestrial Organizations And Bodies,5,1088,-99.54,Decline
2025,38330,Activities of Extraterrestrial Organizations And Bodies,8,34,-76.47,Decline
2025,88999,Activities of Extraterrestrial Organizations And Bodies,153,336,-54.46,Decline
2025,91110,Manufacturing,9,9,0.0,Stable
2025,94110,Construction,15,27,-44.44,Decline
2025,71121,Manufacturing,1047,1838,-43.04,Decline
2025,94993,Transportation and Storage,9,41,-78.05,Decline
2025,26300,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",2,12,-83.33,Decline
2025,64922,Transportation and Storage,3,10,-70.0,Decline
2025,52220,Manufacturing,22,36,-38.89,Decline
2025,52241,Manufacturing,9,34,-73.53,Decline
2025,87301,"Professional, Scientific and Technical Activities",6,8,-25.0,Decline
2025,86940,"Professional, Scientific and Technical Activities",386,818,-52.81,Decline
2025,86906,"Professional, Scientific and Technical Activities",2,674,-99.7,Decline
2025,42212,Manufacturing,82,199,-58.79,Decline
2025,42219,Manufacturing,83,217,-61.75,Decline
2025,86910,"Professional, Scientific and Technical Activities",17,57,-70.18,Decline
2025,65121,Transportation and Storage,2,6,-66.67,Decline
2025,64999,Transportation and Storage,80,230,-65.22,Decline
2025,96302,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",4,11,-63.64,Decline
2025,56220,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",184,468,-60.68,Decline
2025,56290,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",1,438,-99.77,Decline
2025,80010,Activities of Extraterrestrial Organizations And Bodies,57,81,-29.63,Decline
2025,49110,"Arts, Sports and Recreation",3,5,-40.0,Decline
2025,80100,"Agriculture, Forestry and Fishing",1,59,-98.31,Decline
2025,86101,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",2,5,-60.0,Decline
2025,56301,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure, Other Information Service Activities",752,1504,-50.0,Decline
